lat,lon,dep,x,y,mag
40.7218333,-112.0805,9.97,11.449139,9.970000,0.86
40.7365,-112.0696667,8.34,12.721372,8.340000,0.46
40.7348333,-112.0828333,8.03,11.597141,8.030000,0.44
40.713,-112.0528333,9.22,13.490149,9.220000,0.75
40.7241667,-112.0626667,7.99,12.974102,7.990000,0.41
40.7455,-112.0305,6.72,16.170837,6.720000,0.95
40.744,-112.0391667,9.25,15.420407,9.250000,0.53
40.7295,-112.0695,9.04,12.552331,9.040000,0.75
40.7425,-112.0496667,6.49,14.519489,6.490000,0.62
40.7378333,-112.0493333,8.18,14.425152,8.180000,0.47
40.7443333,-112.0361667,9.39,15.675327,9.390000,0.64
40.7321667,-112.0701667,8.92,12.567214,8.920000,0.95
40.7698333,-112.094,10.96,11.595295,10.960000,0.8
40.7415,-112.0601667,4.76,13.631602,4.760000,0.97
40.7433333,-112.0595,8.17,13.734155,8.170000,0.49
40.7165,-112.0543333,10.15,13.458274,10.150000,1.15
40.7293333,-112.0553333,9.2,13.710930,9.200000,1.76
40.7911667,-111.993,1.43,20.436671,1.430000,0.58
40.7116667,-112.0543333,9.84,13.332202,9.840000,1.69
40.711,-112.0538333,9.65,13.355869,9.650000,0.66
40.7118333,-112.0448333,9.57,14.116638,9.570000,0.5
40.7131667,-112.0518333,9.48,13.576609,9.480000,1.5
40.7176667,-112.0536667,10.03,13.543439,10.030000,0.97
40.712,-112.054,9.38,13.368264,9.380000,2.27
40.7125,-112.051,9.07,13.627646,9.070000,1.03
40.7301667,-112.0845,8.31,11.338439,8.310000,0.8
40.7258333,-112.0568333,9.33,13.496486,9.330000,0.58
40.7325,-112.0611667,9.89,13.314687,9.890000,0.8
40.7783333,-112.0731667,12.05,13.526303,12.050000,0.6
40.781,-112.0703333,10.96,13.828337,10.960000,1.22
40.7318333,-112.0466667,6.04,14.487583,6.040000,0.66
40.7265,-112.063,9.38,13.007627,9.380000,0.7
40.743,-112.0676667,7.71,13.055191,7.710000,0.8
40.7515,-112.054,6.43,14.398589,6.430000,0.54
40.7583333,-111.9478333,6.32,23.289682,6.320000,0.58
40.7671667,-112.084,10.37,12.345986,10.370000,1.01
40.7366667,-112.0441667,9.69,14.818828,9.690000,0.69
40.7383333,-112.0541667,4.93,14.041459,4.930000,0.62
40.739,-112.0573333,10.39,13.798935,10.390000,0.52
40.7306667,-112.0571667,9.09,13.595209,9.090000,0.33
40.7381667,-112.0593333,8.43,13.613035,8.430000,0.48
40.7535,-112.0766667,6.9,12.590730,6.900000,0.47
