time,latitude,longitude,depth,x,mag
2020-11-04T09:48:41.960Z,40.7218333,-112.0805,9.97,11.449139,0.86
2020-11-03T00:40:15.250Z,40.7365,-112.0696667,8.34,12.721372,0.46
2020-10-31T22:21:06.370Z,40.7348333,-112.0828333,8.03,11.597141,0.44
2020-10-30T08:49:02.180Z,40.713,-112.0528333,9.22,13.490149,0.75
2020-10-30T02:26:45.370Z,40.7241667,-112.0626667,7.99,12.974102,0.41
2020-10-30T00:57:12.570Z,40.7455,-112.0305,6.72,16.170837,0.95
2020-10-29T08:17:32.610Z,40.744,-112.0391667,9.25,15.420407,0.53
2020-10-27T13:19:24.590Z,40.7295,-112.0695,9.04,12.552331,0.75
2020-10-26T14:12:43.570Z,40.7425,-112.0496667,6.49,14.519489,0.62
2020-10-25T12:43:17.880Z,40.7378333,-112.0493333,8.18,14.425152,0.47
2020-10-25T00:49:11.640Z,40.7443333,-112.0361667,9.39,15.675327,0.64
2020-10-21T07:16:33.070Z,40.7321667,-112.0701667,8.92,12.567214,0.95
2020-10-21T01:09:49.700Z,40.7698333,-112.094,10.96,11.595295,0.8
2020-10-19T12:58:22.380Z,40.7415,-112.0601667,4.76,13.631602,0.97
2020-10-19T05:23:48.550Z,40.7433333,-112.0595,8.17,13.734155,0.49
2020-10-17T20:04:15.670Z,40.7165,-112.0543333,10.15,13.458274,1.15
2020-10-15T20:38:36.310Z,40.7293333,-112.0553333,9.2,13.710930,1.76
2020-10-15T06:40:54.690Z,40.7911667,-111.993,1.43,20.436671,0.58
2020-10-15T05:36:23.270Z,40.7116667,-112.0543333,9.84,13.332202,1.69
2020-10-11T06:12:24.380Z,40.711,-112.0538333,9.65,13.355869,0.66
2020-10-10T07:42:57.570Z,40.7118333,-112.0448333,9.57,14.116638,0.5
2020-10-10T06:34:01.860Z,40.7131667,-112.0518333,9.48,13.576609,1.5
2020-10-10T05:20:01.080Z,40.7176667,-112.0536667,10.03,13.543439,0.97
2020-10-10T05:18:46.880Z,40.712,-112.054,9.38,13.368264,2.27
2020-10-10T02:17:53.720Z,40.7125,-112.051,9.07,13.627646,1.03
2020-10-07T15:18:18.690Z,40.7301667,-112.0845,8.31,11.338439,0.8
2020-10-07T05:42:59.790Z,40.7258333,-112.0568333,9.33,13.496486,0.58
2020-10-07T01:20:59.520Z,40.7325,-112.0611667,9.89,13.314687,0.8
2020-10-04T05:32:52.060Z,40.7783333,-112.0731667,12.05,13.526303,0.6
2020-10-04T03:13:37.120Z,40.781,-112.0703333,10.96,13.828337,1.22
2020-10-03T04:11:23.080Z,40.7318333,-112.0466667,6.04,14.487583,0.66
2020-09-29T20:04:38.140Z,40.7265,-112.063,9.38,13.007627,0.7
2020-09-28T04:59:50.030Z,40.743,-112.0676667,7.71,13.055191,0.8
2020-09-28T02:50:21.690Z,40.7515,-112.054,6.43,14.398589,0.54
2020-09-26T18:38:44.340Z,40.7583333,-111.9478333,6.32,23.289682,0.58
2020-09-25T09:29:10.970Z,40.7671667,-112.084,10.37,12.345986,1.01
2020-09-24T21:10:57.970Z,40.7366667,-112.0441667,9.69,14.818828,0.69
2020-09-23T05:53:45.120Z,40.7383333,-112.0541667,4.93,14.041459,0.62
2020-09-20T04:47:33.190Z,40.739,-112.0573333,10.39,13.798935,0.52
2020-09-20T04:47:29.790Z,40.7306667,-112.0571667,9.09,13.595209,0.33
2020-09-20T01:03:56.360Z,40.7381667,-112.0593333,8.43,13.613035,0.48
2020-09-16T21:16:36.650Z,40.7535,-112.0766667,6.9,12.590730,0.47
2020-09-16T03:56:32.390Z,40.7288333,-112.0628333,9.06,13.082199,1.71
2020-09-13T14:03:58.940Z,40.7221667,-112.0771667,6.65,11.731496,0.77
2020-09-12T09:36:10.070Z,40.7613333,-112.0806667,8.87,12.467091,0.27
2020-09-12T05:50:50.150Z,40.7241667,-112.0668333,9.23,12.632039,0.23
2020-09-08T14:22:33.950Z,40.7166667,-112.0661667,9.49,12.491023,1.26
2020-09-03T15:08:36.320Z,40.7241667,-112.0556667,11.1,13.548784,0.33
2020-09-03T03:48:39.070Z,40.7286667,-112.0813333,9.51,11.559201,0.54
2020-09-01T22:07:38.990Z,40.7311667,-112.0578333,10.39,13.553532,1.8
2020-09-01T05:06:57.250Z,40.7283333,-112.0611667,10.29,13.205966,0.55
2020-08-31T10:53:45.240Z,40.7268333,-112.0591667,10.33,13.331014,0.35
2020-08-31T10:46:22.120Z,40.7273333,-112.0581667,10.45,13.426153,0.99
2020-08-31T10:46:12.070Z,40.7268333,-112.0636667,11.42,12.961593,0.81
2020-08-29T22:04:03.710Z,40.7531667,-112.06,10.31,13.949692,0.34
2020-08-29T14:45:45.020Z,40.7391667,-112.097,8.91,10.547632,0.07
2020-08-28T20:16:00.790Z,40.729,-112.0651667,6.79,12.894999,0.63
2020-08-27T09:37:47.680Z,40.75,-112.0433333,7.22,15.234855,1.07
2020-08-27T05:53:50.960Z,40.7393333,-112.0645,5.62,13.219399,0.73
2020-08-25T21:29:22.330Z,40.729,-112.0615,10.02,13.196001,0.9
2020-08-25T16:43:12.210Z,40.7256667,-112.1096667,8.87,9.155016,0.19
2020-08-25T04:15:23.860Z,40.71,-112.0543333,9.32,13.288728,0.82
2020-08-23T17:13:13.940Z,40.7288333,-112.062,7.94,13.150606,0.85
2020-08-23T10:18:22.390Z,40.7303333,-112.1113333,9.95,9.140268,0.47
2020-08-22T12:24:40.530Z,40.7365,-112.095,7.08,10.642081,0.56
2020-08-20T19:43:59.160Z,40.726,-112.0595,9.75,13.281911,0.22
2020-08-20T01:30:33.360Z,40.7253333,-112.0966667,8.02,10.213425,0.23
2020-08-19T19:58:24.650Z,40.7141667,-112.0876667,10.58,10.660496,0.64
2020-08-18T08:21:32.350Z,40.754,-112.0776667,9.07,12.521730,0.61
2020-08-17T21:12:23.470Z,40.7221667,-112.0591667,8.44,13.209261,0.46
2020-08-17T00:20:02.950Z,40.742,-112.0513333,7.38,14.369660,0.84
2020-08-16T18:31:06.090Z,40.738,-112.0781667,9.39,12.062870,0.74
2020-08-16T18:31:06.050Z,40.737,-112.0758333,9.6,12.228276,0.74
2020-08-16T11:45:42.870Z,40.7211667,-112.0561667,9.29,13.429475,0.47
2020-08-16T09:48:39.820Z,40.741,-112.0681667,10.54,12.961950,0.8
2020-08-16T08:28:44.740Z,40.7316667,-112.059,10.03,13.470804,0.39
2020-08-16T05:53:17.580Z,40.728,-112.0493333,9.42,14.168715,0.91
2020-08-16T05:34:31.500Z,40.7508333,-112.0668333,8.3,13.328043,0.73
2020-08-12T15:47:22.760Z,40.724,-112.0581667,10.32,13.339190,0.78
2020-08-12T11:36:47.990Z,40.7241667,-112.0503333,8.6,13.986650,1.05
2020-08-12T11:30:34.480Z,40.728,-112.0515,9.19,13.990841,0.98
2020-08-10T06:38:58.640Z,40.7388333,-112.0576667,7.21,13.767221,0.94
2020-08-10T02:25:57.480Z,40.7363333,-112.079,9.47,11.950950,0.43
2020-08-09T00:11:20.380Z,40.739,-112.0425,8.38,15.016469,0.22
2020-08-08T19:15:12.990Z,40.7585,-112.0718333,8.73,13.117884,0.23
2020-08-08T12:37:18.030Z,40.7403333,-112.0513333,9.12,14.326190,0.35
2020-08-08T05:11:27.320Z,40.7283333,-112.0495,7.33,14.163722,0.03
2020-08-08T04:53:13.220Z,40.7345,-112.0826667,7.44,11.602109,0.41
2020-08-07T04:42:20.780Z,40.7235,-112.0583333,9.97,13.312468,0.23
2020-08-07T03:36:03.440Z,40.7495,-112.0638333,4.52,13.539438,0.39
2020-08-06T02:51:36.240Z,40.7128333,-112.0761667,10.24,11.569887,0.61
2020-08-04T15:25:23.350Z,40.7303333,-112.0738333,8.85,12.218374,1.07
2020-08-02T16:50:16.110Z,40.72,-112.0546667,8.38,13.522195,0.71
2020-08-02T01:55:45.090Z,40.7136667,-112.079,9.95,11.359016,0.62
2020-08-01T21:31:40.050Z,40.7306667,-112.0708333,11.12,12.473339,0.29
2020-08-01T21:31:35.570Z,40.7288333,-112.0705,11.62,12.452839,0.11
2020-08-01T14:42:49.090Z,40.7195,-112.0655,9.06,12.619706,0.33
2020-07-31T18:27:58.590Z,40.7225,-112.2046667,6.92,1.274703,0.4
2020-07-30T04:04:48.510Z,40.7365,-112.073,7.57,12.447775,0.31
2020-07-29T13:17:02.540Z,40.7393333,-112.0481667,7.25,14.560026,0.82
2020-07-29T12:59:48.660Z,40.7465,-112.0518333,7.93,14.445990,0.97
2020-07-28T06:24:26.730Z,40.782,-111.9623333,7.93,22.714237,0.63
2020-07-28T02:08:51.660Z,40.7398333,-112.0541667,9.58,14.080586,0.79
2020-07-28T01:56:28.400Z,40.7485,-112.0485,7.34,14.771715,0.61
2020-07-27T02:39:21.310Z,40.7308333,-112.0725,8.76,12.340874,0.81
2020-07-26T21:26:57.950Z,40.778,-111.9915,6.85,20.217267,1.46
2020-07-26T17:31:10.340Z,40.7396667,-112.0416667,9.23,15.102249,1.5
2020-07-26T06:41:54.910Z,40.7571667,-112.115,5.96,9.541268,0.95
2020-07-26T02:47:05.000Z,40.7503333,-112.042,7.8,15.352967,0.12
2020-07-25T23:29:49.090Z,40.7343333,-112.0566667,10.52,13.731906,2.54
2020-07-24T21:33:45.330Z,40.7451667,-112.0211667,8.56,16.928217,1.22
2020-07-24T20:49:12.620Z,40.7413333,-112.023,9.96,16.677895,0.77
2020-07-24T18:18:37.560Z,40.724,-112.0608333,9.3,13.120269,0.29
2020-07-24T17:13:30.540Z,40.7453333,-112.0498333,9.38,14.579706,0.93
2020-07-24T07:35:52.880Z,40.7396667,-112.0515,8.43,14.295122,0.69
2020-07-24T06:28:50.660Z,40.7338333,-111.974,8.4,20.505369,0.48
2020-07-23T23:22:17.130Z,40.728,-112.0823333,8.51,11.459700,0.15
2020-07-22T00:00:39.930Z,40.7428333,-112.0708333,3.5,12.790949,0.49
2020-07-21T08:43:08.490Z,40.73,-112.0361667,9.16,15.301767,0.54
2020-07-20T21:06:30.970Z,40.7273333,-112.077,8.11,11.880094,0.61
2020-07-20T03:28:02.340Z,40.7345,-112.0625,10.73,13.257431,0.29
2020-07-20T01:00:51.570Z,40.7231667,-112.0651667,8.43,12.742763,0.94
2020-07-19T09:42:38.670Z,40.7381667,-112.0441667,8.99,14.857936,1.46
2020-07-19T08:08:29.450Z,40.735,-112.0363333,9.72,15.418402,1.33
2020-07-19T05:01:55.990Z,40.7608333,-112.0975,9.5,11.072928,0.24
2020-07-18T08:08:40.880Z,40.744,-112.0456667,8.76,14.886910,0.36
2020-07-17T15:10:09.340Z,40.7156667,-112.0475,8.52,13.997619,1.45
2020-07-17T11:29:23.550Z,40.8086667,-111.9885,3.93,21.260896,0.58
2020-07-17T05:26:10.840Z,40.7103333,-112.0541667,10.21,13.311102,0.37
2020-07-16T14:48:31.080Z,40.7318333,-112.0295,8.88,15.896840,1.79
2020-07-16T10:57:23.450Z,40.7408333,-112.0516667,7.4,14.311866,0.62
2020-07-16T05:23:41.270Z,40.7303333,-112.0501667,7.93,14.161148,0.64
2020-07-15T21:41:13.600Z,40.726,-112.0653333,7.08,12.803029,0.33
2020-07-15T11:57:28.950Z,40.7286667,-112.0693333,8.39,12.544264,1.03
2020-07-15T11:29:11.910Z,40.7181667,-112.0631667,8.26,12.776482,0.5
2020-07-15T10:07:16.850Z,40.7263333,-112.0591667,8.03,13.317969,1.22
2020-07-15T10:03:35.970Z,40.7261667,-112.0623333,8,13.053661,0.94
2020-07-15T09:17:33.500Z,40.7223333,-112.0598333,8.53,13.158880,0.74
2020-07-15T06:49:30.190Z,40.7358333,-112.0503333,8.52,14.290910,0.94
2020-07-15T05:36:53.740Z,40.7488333,-112.0773333,6.69,12.414166,0.15
2020-07-15T00:15:11.660Z,40.719,-112.06,9.79,13.058224,1.46
2020-07-14T09:51:18.140Z,40.7318333,-112.068,9.43,12.736367,0.38
2020-07-13T17:14:39.850Z,40.7245,-112.0835,8.57,11.272507,0.39
2020-07-13T16:58:35.490Z,40.7175,-112.0706667,8.25,12.143304,0.49
2020-07-13T00:25:24.720Z,40.723,-112.0668333,5.75,12.601589,0.22
2020-07-12T20:27:56.830Z,40.7336667,-112.0471667,8.76,14.494346,0.89
2020-07-12T18:05:54.670Z,40.7356667,-112.0498333,8.85,14.327608,0.36
2020-07-12T13:09:36.700Z,40.7198333,-112.071,7.58,12.176850,0.46
2020-07-12T02:25:30.440Z,40.732,-112.0556667,6.94,13.753125,0.96
2020-07-11T16:55:18.270Z,40.7356667,-112.0713333,8.48,12.562823,0.83
2020-07-10T23:54:57.360Z,40.7278333,-112.0991667,8.87,10.073555,0.21
2020-07-10T07:30:21.220Z,40.7175,-112.0731667,6.73,11.938047,0.08
2020-07-09T23:27:20.160Z,40.7375,-111.9701667,7.91,20.915362,0.8
2020-07-09T18:10:23.720Z,40.7291667,-112.0536667,8.62,13.843399,0.51
2020-07-09T12:50:00.480Z,40.736,-112.0766667,9.31,12.133760,0.39
2020-07-08T21:10:55.590Z,40.7396667,-112.063,9.67,13.351216,2.39
2020-07-08T15:07:59.520Z,40.7418333,-112.07,8.46,12.833236,0.76
2020-07-08T07:17:25.060Z,40.7581667,-112.0645,8.87,13.710907,0.24
2020-07-08T06:58:26.080Z,40.7326667,-112.0603333,7.19,13.387448,0.48
2020-07-08T06:56:34.030Z,40.732,-112.0506667,10.66,14.163570,0.27
2020-07-08T01:53:32.000Z,40.7306667,-112.0496667,7.46,14.210889,0.63
2020-07-07T10:13:22.650Z,40.787,-111.9573333,9.38,23.254305,0.3
2020-07-07T10:11:12.550Z,40.7923333,-111.9513333,8.21,23.885005,0.64
2020-07-07T03:14:00.240Z,40.746,-112.0776667,6.37,12.312818,0.79
2020-07-06T14:10:32.990Z,40.729,-112.0693333,9,12.552964,0.43
2020-07-05T23:05:55.780Z,40.7388333,-112.0493333,7.83,14.451231,0.29
2020-07-05T14:20:20.070Z,40.7428333,-112.0698333,7.64,12.873021,0.66
2020-07-05T13:12:51.130Z,40.7491667,-112.0905,8.26,11.342394,0.82
2020-07-05T05:01:08.970Z,40.725,-112.0676667,8.44,12.585371,0.36
2020-07-04T15:34:27.760Z,40.7421667,-112.0653333,8.6,13.224951,0.46
2020-07-04T12:21:29.450Z,40.7448333,-112.0628333,9.45,13.499723,1.76
2020-07-02T17:19:45.680Z,40.7518333,-112.0626667,8.01,13.696064,0.53
2020-07-02T16:42:04.490Z,40.7413333,-112.0196667,7.28,16.951507,0.93
2020-07-02T12:30:09.300Z,40.7848333,-111.9621667,4.16,22.801494,0.92
2020-07-02T08:14:49.130Z,40.749,-112.0613333,5.38,13.731554,0.04
2020-07-02T07:07:19.910Z,40.7258333,-112.08,9.74,11.594651,0.42
2020-07-01T18:54:56.480Z,40.7421667,-112.0381667,9.27,15.454700,0.16
2020-07-01T10:13:10.910Z,40.7888333,-111.9565,5.33,23.370272,0.37
2020-06-30T14:44:36.560Z,40.748,-112.0375,10.26,15.661463,0.21
2020-06-30T14:31:50.780Z,40.7301667,-112.0481667,9,14.320988,1.77
2020-06-29T14:57:21.980Z,40.7685,-112.0893333,10.26,11.943287,0.58
2020-06-29T09:55:26.280Z,40.7155,-112.0851667,12.51,10.900585,0.27
2020-06-29T09:05:13.920Z,40.7205,-112.0881667,11.23,10.784907,0.39
2020-06-28T15:31:56.930Z,40.7136667,-112.0528333,9.8,13.507538,0.46
2020-06-28T10:08:13.920Z,40.7328333,-112.0811667,10.13,11.681699,1.41
2020-06-27T22:44:12.090Z,40.7911667,-111.9988333,2.6,19.958176,0.49
2020-06-27T22:22:00.630Z,40.7915,-111.997,5.36,20.117229,0.58
2020-06-27T19:10:39.710Z,40.767,-112.0981667,8.29,11.179425,0.01
2020-06-27T19:08:04.940Z,40.7453333,-112.0803333,10.33,12.076567,0.4
2020-06-27T19:02:53.450Z,40.7361667,-112.0673333,7.39,12.904198,0.37
2020-06-27T19:01:57.470Z,40.7696667,-112.0853333,9.27,12.301913,0.25
2020-06-27T18:34:10.840Z,40.7648333,-112.0913333,9.88,11.683399,0.19
2020-06-27T18:30:48.870Z,40.765,-112.0823333,9.93,12.426126,0.92
2020-06-27T18:26:13.430Z,40.7645,-112.1013333,7.36,10.854290,0.49
2020-06-27T00:56:18.780Z,40.7345,-112.0595,9.37,13.503684,0.57
2020-06-26T08:57:46.460Z,40.7671667,-112.1615,0.32,5.988582,0.31
2020-06-26T08:24:11.890Z,40.7393333,-112.0241667,6.53,16.530033,0.38
2020-06-25T16:49:00.260Z,40.7208333,-112.0748333,9.33,11.888245,0.84
2020-06-24T22:29:14.480Z,40.7155,-112.0656667,10.12,12.501627,0.64
2020-06-24T22:28:49.980Z,40.7146667,-112.0628333,9.23,12.712525,0.38
2020-06-24T09:19:47.850Z,40.7248333,-112.0841667,9.97,11.226483,1.25
2020-06-24T05:02:22.240Z,40.7328333,-112.0781667,9.54,11.927946,0.47
2020-06-24T04:43:19.180Z,40.7381667,-112.0258333,8.3,16.362839,1.86
2020-06-22T17:09:23.860Z,40.7371667,-112.0443333,10.08,14.818189,0.24
2020-06-22T10:08:55.210Z,40.735,-112.0768333,10.06,12.093973,0.54
2020-06-20T21:44:55.030Z,40.729,-112.073,9.39,12.251968,0.45
2020-06-20T02:25:29.060Z,40.7408333,-112.0588333,8.05,13.723647,0.22
2020-06-20T02:08:04.410Z,40.7733333,-112.1623333,0.5,6.081916,0.06
2020-06-19T14:26:45.970Z,40.7245,-112.0651667,9.48,12.777559,1.23
2020-06-19T11:51:29.370Z,40.7548333,-112.0433333,9.79,15.360867,0.16
2020-06-19T06:34:56.300Z,40.7618333,-112.0865,11.09,12.001552,0.53
2020-06-18T10:44:58.540Z,40.738,-112.0808333,7.88,11.844006,0.36
2020-06-18T09:29:53.580Z,40.743,-112.0581667,9.12,13.834888,0.45
2020-06-17T10:24:43.360Z,40.743,-112.0483333,6.97,14.641970,0.8
2020-06-17T06:10:19.520Z,40.7528333,-112.0801667,8.84,12.286117,0.03
2020-06-16T21:35:57.190Z,40.7296667,-112.056,8.2,13.664897,1.08
2020-06-16T08:05:47.360Z,40.7386667,-112.043,9.53,14.966738,0.08
2020-06-16T06:39:30.570Z,40.7475,-112.072,7.8,12.817029,0.54
2020-06-15T22:29:35.480Z,40.7541667,-112.0725,7.93,12.950047,0.35
2020-06-15T16:32:11.330Z,40.7311667,-112.0643333,8.92,13.019957,0.66
2020-06-15T00:57:27.070Z,40.7288333,-112.071,8.32,12.411794,0.51
2020-06-14T18:30:21.000Z,40.7261667,-112.0808333,8.61,11.534952,0.08
2020-06-14T13:56:43.280Z,40.7455,-112.0491667,8.39,14.638764,0.63
2020-06-14T02:21:20.670Z,40.7226667,-112.1021667,10.34,9.692230,0.79
2020-06-13T23:45:42.590Z,40.7351667,-112.0826667,9.6,11.619523,1
2020-06-13T23:45:05.470Z,40.7418333,-112.069,8.2,12.915309,0.9
2020-06-13T08:28:40.780Z,40.7646667,-111.966,6.71,21.963135,0.4
2020-06-13T04:18:50.200Z,40.755,-112.0791667,7.81,12.424761,0.12
2020-06-13T00:39:26.120Z,40.7893333,-111.9755,5.79,21.824558,0.54
2020-06-12T01:56:16.030Z,40.7325,-112.0501667,7.97,14.217655,0.54
2020-06-10T06:04:28.500Z,40.7316667,-112.0581667,7.21,13.539208,1.04
2020-06-10T03:25:15.650Z,40.7353333,-112.0515,7.26,14.182101,0.54
2020-06-10T01:50:15.460Z,40.7736667,-112.0911667,9.36,11.927894,0.95
2020-06-09T20:28:33.910Z,40.7673333,-112.0871667,9.8,12.090546,0.25
2020-06-09T18:26:42.670Z,40.7358333,-112.0586667,8.12,13.606871,0.34
2020-06-09T07:48:45.360Z,40.717,-112.0933333,11.24,10.269290,0.6
2020-06-08T19:45:20.910Z,40.7721667,-112.119,6.99,9.605572,0.54
2020-06-08T16:21:38.370Z,40.774,-112.0951667,9.23,11.608488,0.81
2020-06-07T15:11:57.090Z,40.7513333,-112.0738333,9,12.766662,1.15
2020-06-06T09:18:20.180Z,40.7355,-112.0653333,9.15,13.050961,1.01
2020-06-06T07:45:09.350Z,40.7416667,-112.0621667,10.21,13.471800,1.76
2020-06-05T23:20:18.660Z,40.7475,-112.0526667,9.06,14.403674,1.35
2020-06-05T09:22:21.770Z,40.738,-112.0461667,10.22,14.689423,1.51
2020-06-05T09:19:30.910Z,40.7283333,-112.0485,10.22,14.245816,1.07
2020-06-05T08:34:06.430Z,40.7361667,-112.0446667,10.12,14.764749,0.87
2020-06-04T12:34:05.750Z,40.755,-112.0448333,8.47,15.242119,0.9
2020-06-04T02:38:45.380Z,40.7278333,-112.0526667,4.99,13.890713,0.77
2020-06-04T02:04:24.530Z,40.7358333,-112.0523333,10.12,14.126741,1.48
2020-06-03T20:31:26.960Z,40.7296667,-112.0705,8.6,12.474594,0.53
2020-06-03T05:54:14.800Z,40.744,-112.0461667,9.71,14.845872,1.17
2020-06-03T02:09:44.580Z,40.7881667,-112.1846667,3.28,4.639627,0.32
2020-06-02T23:59:50.060Z,40.7363333,-112.0686667,9.91,12.799101,0.56
2020-06-02T22:28:16.370Z,40.7526667,-111.9585,4.02,22.267040,0.64
2020-06-01T22:28:44.030Z,40.728,-112.0821667,8.57,11.473376,-0.25
2020-06-01T13:51:49.480Z,40.7545,-112.0863333,4.16,11.823647,0.68
2020-06-01T12:59:07.680Z,40.7243333,-112.067,7.56,12.622702,0.61
2020-06-01T00:08:59.260Z,40.7428333,-111.9503333,8.28,22.682156,0.42
2020-05-31T19:56:24.340Z,40.7185,-112.0951667,9.61,10.157972,0.28
2020-05-31T11:08:45.860Z,40.752,-112.0531667,6.84,14.480016,0.77
2020-05-31T07:44:16.030Z,40.7431667,-112.0521667,8.95,14.331687,0.72
2020-05-31T00:41:46.860Z,40.7303333,-112.0431667,8.57,14.735796,1
2020-05-30T21:10:45.210Z,40.7276667,-112.0488333,9.71,14.201071,0.83
2020-05-30T17:43:38.520Z,40.7438333,-112.0428333,8.63,15.115118,0.78
2020-05-30T13:56:01.040Z,40.7363333,-112.0738333,8.65,12.375026,1.02
